CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,sensitive
100.0,2199.865,2.25,2607.0,320.0,332.8,0.1,202724.0,184812.0,21.25,1
100.0,2200.0,2.12,4848.0,2680.0,323.6,0.1,204068.0,186660.0,21.25,1
100.0,2199.865,2.01,1587.0,800.0,102.9,0.0,49452.0,46728.0,2.5,0
100.0,2199.865,1.61,2880.0,280.0,92.3,0.0,159356.0,47112.0,2.5,0
100.0,2200.0,2.65,95723.0,1240.0,8690.7,0.1,68112.0,66204.0,1.25,1
93.8,2200.0,1.86,1094.0,760.0,87.5,0.0,10536.0,5408.0,2.5,0
100.0,2199.865,1.85,2051.0,640.0,167.2,0.0,10536.0,5408.0,2.5,0
100.0,2199.865,1.42,869.0,1200.0,143.4,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,0.6,4291.0,640.0,270.7,0.2,290704.0,286536.0,5.0,1
100.0,2200.0,1.41,810.0,1640.0,242.7,0.0,5476.0,3188.0,2.5,0
100.0,2199.865,0.41,21949.0,1160.0,2999.7,0.2,290704.0,286540.0,6.25,1
100.0,2200.0,1.42,353.0,1760.0,226.8,0.0,5332.0,3012.0,2.5,0
100.0,2200.0,2.73,95375.0,6560.0,9384.6,0.1,68112.0,66208.0,8.75,1
100.0,2200.0,2.71,95573.0,6680.0,9565.5,0.1,68112.0,66208.0,8.75,1
100.0,2200.0,1.4,1261.0,1320.0,143.5,0.0,5476.0,3188.0,2.5,0
100.0,2199.865,1.7,729.0,320.0,34.0,0.0,10536.0,5408.0,2.5,0
100.0,2200.0,1.93,1421.0,720.0,83.3,0.0,10536.0,5408.0,2.5,0
100.0,2200.0,1.55,570.0,480.0,26.8,0.0,10876.0,5776.0,2.5,0
100.0,2200.0,1.42,872.0,840.0,30.1,0.0,5476.0,3188.0,2.5,0
100.0,2200.0,1.99,1099.0,800.0,24.9,0.0,10536.0,5408.0,2.5,0
100.0,2199.865,2.75,97415.0,12440.0,8487.0,0.1,68112.0,66208.0,12.5,1
